beta,areas,firing_areas,firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.3,6.0,3.0,0.0,0.22649842271293372,0.0,0.9400630914826499,3.0,0.9968454258675079,0.9968454258675079
0.3,6.0,3.0,1.0,0.23533123028391173,0.0,0.9873817034700315,3.0,1.0,1.0
0.3,6.0,3.0,3.0,0.20757097791798101,0.0031545741324921135,0.9621451104100947,3.0,0.9747634069400631,0.9747634069400631
0.3,6.0,3.0,5.0,0.21766561514195581,0.0,0.9905362776025236,3.0,1.0,1.0
0.3,6.0,4.0,0.0,0.23848580441640377,0.0,0.9810725552050473,3.0,1.0,1.0
0.3,6.0,4.0,1.0,0.2801261829652997,0.06309148264984227,1.0,2.0,1.0,1.0
0.3,6.0,4.0,3.0,0.19053627760252367,0.0,0.6498422712933754,3.0,0.8201892744479495,0.8201892744479495
0.3,6.0,4.0,5.0,0.1804416403785489,0.0,0.7665615141955836,3.0,0.8170347003154574,0.8170347003154574
0.3,6.0,5.0,0.0,0.22839116719242902,0.0,1.0,2.0,1.0,1.0
0.3,6.0,5.0,1.0,0.25867507886435337,0.0,1.0,2.0,1.0,1.0
0.3,6.0,5.0,3.0,0.23848580441640377,0.0,1.0,2.0,1.0,1.0
0.3,6.0,5.0,5.0,0.22082018927444796,0.0,0.9873817034700315,3.0,1.0,1.0
0.3,7.0,1.0,0.0,0.2607781282860147,0.0031545741324921135,0.9968454258675079,3.0,1.0,1.0
0.3,7.0,1.0,1.0,0.22292323869610933,0.0,0.9652996845425867,3.0,1.0,1.0
0.3,7.0,1.0,3.0,0.23396424815983177,0.0,0.9968454258675079,3.0,1.0,1.0
0.3,7.0,1.0,5.0,0.2171398527865405,0.0,0.9589905362776026,3.0,1.0,1.0
0.3,7.0,2.0,0.0,0.25131440588853843,0.0,1.0,2.0,1.0,1.0
0.3,7.0,2.0,1.0,0.20609884332281805,0.0,0.917981072555205,3.0,1.0,1.0
0.3,7.0,2.0,3.0,0.21924290220820195,0.0,0.9779179810725552,3.0,0.9873817034700315,0.9873817034700315
0.3,7.0,2.0,5.0,0.2013669821240799,0.0,1.0,2.0,1.0,1.0
0.3,7.0,3.0,0.0,0.22923238696109358,0.0,1.0,2.0,1.0,1.0
0.3,7.0,3.0,1.0,0.21556256572029445,0.0,0.9779179810725552,3.0,1.0,1.0
0.3,7.0,3.0,3.0,0.2024185068349106,0.0,0.9936908517350158,3.0,1.0,1.0
0.3,7.0,3.0,5.0,0.2124079915878023,0.0,0.9968454258675079,3.0,1.0,1.0
0.3,7.0,4.0,0.0,0.21976866456361724,0.0,0.9968454258675079,3.0,1.0,1.0
0.3,7.0,4.0,1.0,0.22134595162986329,0.0031545741324921135,1.0,2.0,1.0,1.0
0.3,7.0,4.0,3.0,0.21661409043112512,0.0,1.0,2.0,1.0,1.0
0.3,7.0,4.0,5.0,0.2323869610935857,0.0,1.0,2.0,1.0,1.0
0.3,7.0,5.0,0.0,0.2292323869610936,0.0,1.0,2.0,1.0,1.0
0.3,7.0,5.0,1.0,0.19137749737118823,0.0,0.7381703470031545,3.0,0.8706624605678234,0.8706624605678234
0.3,7.0,5.0,3.0,0.23133543638275497,0.0,1.0,2.0,1.0,1.0
0.3,7.0,5.0,5.0,0.21083070452155625,0.0,0.9905362776025236,3.0,1.0,1.0
0.3,7.0,6.0,0.0,0.1961093585699264,0.0,0.8675078864353313,4.0,0.9148264984227129,0.9148264984227129
0.3,7.0,6.0,1.0,0.2113564668769716,0.0,1.0,2.0,1.0,1.0
0.3,7.0,6.0,3.0,0.22082018927444794,0.0031545741324921135,1.0,2.0,1.0,1.0
0.3,7.0,6.0,5.0,0.21976866456361724,0.0031545741324921135,0.9968454258675079,3.0,1.0,1.0
0.3,8.0,1.0,0.0,0.33258224425416855,0.0,0.9936908517350158,3.0,1.0,1.0
0.3,8.0,1.0,1.0,0.19873817034700317,0.0,0.9589905362776026,3.0,1.0,1.0
0.3,8.0,1.0,3.0,0.23569175304191076,0.0,0.9842271293375394,3.0,1.0,1.0
0.3,8.0,1.0,5.0,0.29247408742676884,0.0,0.9369085173501577,3.0,1.0,1.0
0.3,8.0,2.0,0.0,0.20684993240198285,0.0,1.0,2.0,1.0,1.0
0.3,8.0,2.0,1.0,0.24515547543938712,0.0,1.0,2.0,1.0,1.0
0.3,8.0,2.0,3.0,0.25236593059936907,0.0,1.0,2.0,1.0,1.0
0.3,8.0,2.0,5.0,0.21766561514195584,0.0,1.0,2.0,1.0,1.0
0.3,8.0,3.0,0.0,0.34520054078413703,0.0,1.0,2.0,1.0,1.0
0.3,8.0,3.0,1.0,0.21315908066696712,0.0,1.0,2.0,1.0,1.0
0.3,8.0,3.0,3.0,0.2149616944569626,0.0,0.9873817034700315,3.0,1.0,1.0
0.3,8.0,3.0,5.0,0.23073456511942317,0.0,1.0,2.0,1.0,1.0
0.3,8.0,4.0,0.0,0.21135646687697163,0.0,1.0,2.0,1.0,1.0
0.3,8.0,4.0,1.0,0.277602523659306,0.015772870662460567,1.0,2.0,1.0,1.0
0.3,8.0,4.0,3.0,0.26453357368183866,0.0,0.9968454258675079,3.0,1.0,1.0
0.3,8.0,4.0,5.0,0.21180712032447047,0.0,0.9873817034700315,3.0,1.0,1.0
0.3,8.0,5.0,0.0,0.20189274447949526,0.0,0.9968454258675079,5344.0,0.9968454258675079,1.0
0.3,8.0,5.0,1.0,0.2392969806219018,0.0,1.0,2.0,1.0,1.0
0.3,8.0,5.0,3.0,0.21270842721946823,0.0,1.0,2.0,1.0,1.0
0.3,8.0,5.0,5.0,0.2181162685894547,0.0,1.0,2.0,1.0,1.0
0.3,8.0,6.0,0.0,0.2780531771068049,0.0,1.0,2.0,1.0,1.0
0.3,8.0,6.0,1.0,0.21946822893195134,0.0,0.9211356466876972,3.0,1.0,1.0
0.3,8.0,6.0,3.0,0.26318161333934204,0.006309148264984227,1.0,2.0,1.0,1.0
0.3,8.0,6.0,5.0,0.23298783235691753,0.0031545741324921135,1.0,2.0,1.0,1.0
0.3,8.0,7.0,0.0,0.24290220820189276,0.0031545741324921135,1.0,2.0,1.0,1.0
0.3,8.0,7.0,1.0,0.21451104100946372,0.0,1.0,2.0,1.0,1.0
0.3,8.0,7.0,3.0,0.1996394772420009,0.0,0.9968454258675079,3.0,1.0,1.0
0.3,8.0,7.0,5.0,0.3609734114465976,0.0031545741324921135,1.0,2.0,1.0,1.0
0.2,2.0,1.0,0.0,0.24921135646687698,0.24921135646687698,0.41324921135646686,4.0,0.6340694006309149,0.6340694006309149
0.2,2.0,1.0,1.0,0.2082018927444795,0.2082018927444795,0.40063091482649843,4.0,0.5867507886435331,0.5867507886435331
0.2,2.0,1.0,3.0,0.19558359621451105,0.19558359621451105,0.5173501577287066,3.0,0.6182965299684543,0.6182965299684543
0.2,2.0,1.0,5.0,0.21766561514195584,0.21766561514195584,0.5457413249211357,3.0,0.6025236593059937,0.6025236593059937
0.2,3.0,1.0,0.0,0.1971608832807571,0.031545741324921134,0.5331230283911672,3.0,0.5867507886435331,0.5867507886435331
0.2,3.0,1.0,1.0,0.19085173501577285,0.01892744479495268,0.5457413249211357,4.0,0.6246056782334385,0.6246056782334385
0.2,3.0,1.0,3.0,0.1861198738170347,0.03785488958990536,0.526813880126183,3.0,0.5867507886435331,0.5867507886435331
0.2,3.0,1.0,5.0,0.194006309148265,0.025236593059936908,0.4952681388012618,3.0,0.5646687697160884,0.5646687697160884
0.2,3.0,2.0,0.0,0.21766561514195581,0.0473186119873817,0.45741324921135645,6.0,0.637223974763407,0.637223974763407
0.2,3.0,2.0,1.0,0.19085173501577285,0.028391167192429023,0.2334384858044164,8.0,0.5867507886435331,0.5867507886435331
0.2,3.0,2.0,3.0,0.2018927444794953,0.031545741324921134,0.19558359621451105,6.0,0.5930599369085173,0.5930599369085173
0.2,3.0,2.0,5.0,0.1971608832807571,0.022082018927444796,0.5709779179810726,4.0,0.6561514195583596,0.6561514195583596
0.2,4.0,1.0,0.0,0.1608832807570978,0.006309148264984227,0.4921135646687697,3.0,0.5962145110410094,0.5962145110410094
0.2,4.0,1.0,1.0,0.1829652996845426,0.00946372239747634,0.5078864353312302,3.0,0.6182965299684543,0.6182965299684543
0.2,4.0,1.0,3.0,0.1650893796004206,0.006309148264984227,0.5425867507886435,3.0,0.6246056782334385,0.6246056782334385
0.2,4.0,1.0,5.0,0.17350157728706625,0.0031545741324921135,0.5867507886435331,3.0,0.6277602523659306,0.6277602523659306
0.2,4.0,2.0,0.0,0.18191377497371186,0.006309148264984227,0.41009463722397477,4.0,0.6182965299684543,0.6182965299684543
0.2,4.0,2.0,1.0,0.17981072555205047,0.012618296529968454,0.5331230283911672,4.0,0.6466876971608833,0.6466876971608833
0.2,4.0,2.0,3.0,0.19242902208201892,0.006309148264984227,0.2302839116719243,7.0,0.6088328075709779,0.6182965299684543
0.2,4.0,2.0,5.0,0.1819137749737119,0.015772870662460567,0.4794952681388013,3.0,0.6088328075709779,0.6088328075709779
0.2,4.0,3.0,0.0,0.19242902208201895,0.00946372239747634,0.31545741324921134,6.0,0.6056782334384858,0.6056782334384858
0.2,4.0,3.0,1.0,0.1682439537329127,0.0031545741324921135,0.21451104100946372,8.0,0.6403785488958991,0.6498422712933754
0.2,4.0,3.0,3.0,0.17665615141955837,0.0,0.2586750788643533,4.0,0.61198738170347,0.61198738170347
0.2,4.0,3.0,5.0,0.17560462670872767,0.0031545741324921135,0.2870662460567823,4.0,0.6151419558359621,0.6151419558359621
0.2,5.0,1.0,0.0,0.1813880126182965,0.0031545741324921135,0.6088328075709779,3.0,0.6750788643533123,0.6750788643533123
0.2,5.0,1.0,1.0,0.16719242902208203,0.0,0.6277602523659306,3.0,0.6813880126182965,0.6813880126182965
0.2,5.0,1.0,3.0,0.16324921135646686,0.0,0.5899053627760252,3.0,0.6309148264984227,0.6309148264984227
0.2,5.0,1.0,5.0,0.17113564668769715,0.0,0.61198738170347,4.0,0.6403785488958991,0.6435331230283912
