beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.1,4.0,3.0,1.0,0.20189274447949526,0.00946372239747634,0.444794952681388,7.0,0.7287066246056783,0.7287066246056783
0.1,4.0,1.0,3.0,0.19768664563617247,0.0031545741324921135,0.5709779179810726,6.0,0.6845425867507886,0.6971608832807571
0.1,4.0,2.0,3.0,0.19768664563617247,0.0031545741324921135,0.5962145110410094,8.0,0.6908517350157729,0.6908517350157729
0.1,4.0,3.0,3.0,0.19768664563617247,0.0031545741324921135,0.3186119873817035,7.0,0.694006309148265,0.694006309148265
0.1,4.0,1.0,5.0,0.19558359621451105,0.012618296529968454,0.5615141955835962,8.0,0.6466876971608833,0.6498422712933754
0.1,4.0,2.0,5.0,0.19558359621451105,0.012618296529968454,0.3470031545741325,11.0,0.6435331230283912,0.6529968454258676
0.1,4.0,3.0,5.0,0.19558359621451105,0.012618296529968454,0.39747634069400634,4.0,0.6719242902208202,0.6719242902208202
0.075,4.0,1.0,0.0,0.19242902208201892,0.00946372239747634,0.4195583596214511,5.0,0.7381703470031545,0.7381703470031545
0.075,4.0,2.0,0.0,0.19242902208201892,0.00946372239747634,0.5678233438485805,7.0,0.7318611987381703,0.7350157728706624
0.075,4.0,3.0,0.0,0.19242902208201892,0.00946372239747634,0.43217665615141954,9.0,0.7287066246056783,0.7318611987381703
0.075,4.0,1.0,1.0,0.19873817034700314,0.0031545741324921135,0.501577287066246,5.0,0.7097791798107256,0.7097791798107256
0.075,4.0,2.0,1.0,0.19873817034700314,0.0031545741324921135,0.5962145110410094,7.0,0.7255520504731862,0.7287066246056783
0.075,4.0,3.0,1.0,0.19873817034700314,0.0031545741324921135,0.39747634069400634,11.0,0.722397476340694,0.722397476340694
0.075,4.0,1.0,3.0,0.19453207150368032,0.006309148264984227,0.5772870662460567,7.0,0.7476340694006309,0.7476340694006309
0.075,4.0,2.0,3.0,0.19453207150368032,0.006309148264984227,0.668769716088328,7.0,0.7634069400630915,0.7634069400630915
0.075,4.0,3.0,3.0,0.19453207150368032,0.006309148264984227,0.47003154574132494,7.0,0.7602523659305994,0.7602523659305994
0.075,4.0,1.0,5.0,0.2082018927444795,0.0031545741324921135,0.5141955835962145,8.0,0.7034700315457413,0.7097791798107256
0.075,4.0,2.0,5.0,0.2082018927444795,0.0031545741324921135,0.5962145110410094,11.0,0.7034700315457413,0.7160883280757098
0.075,4.0,3.0,5.0,0.2082018927444795,0.0031545741324921135,0.47003154574132494,5.0,0.7034700315457413,0.7097791798107256
0.05,4.0,1.0,0.0,0.16929547844374346,0.0031545741324921135,0.39747634069400634,8.0,0.7981072555205048,0.8012618296529969
0.05,4.0,2.0,0.0,0.16929547844374346,0.0031545741324921135,0.5362776025236593,8.0,0.8012618296529969,0.8012618296529969
0.05,4.0,3.0,0.0,0.16929547844374346,0.0031545741324921135,0.5678233438485805,7.0,0.8012618296529969,0.8012618296529969
0.05,4.0,1.0,1.0,0.17665615141955837,0.0031545741324921135,0.33753943217665616,8.0,0.7570977917981072,0.7570977917981072
0.05,4.0,2.0,1.0,0.17665615141955837,0.0031545741324921135,0.5236593059936908,9.0,0.7539432176656151,0.7570977917981072
0.05,4.0,3.0,1.0,0.17665615141955837,0.0031545741324921135,0.48264984227129337,7.0,0.7476340694006309,0.7539432176656151
0.05,4.0,1.0,3.0,0.1619348054679285,0.006309148264984227,0.30914826498422715,7.0,0.7823343848580442,0.7823343848580442
0.05,4.0,2.0,3.0,0.1619348054679285,0.006309148264984227,0.5741324921135647,7.0,0.7886435331230284,0.7886435331230284
0.05,4.0,3.0,3.0,0.1619348054679285,0.006309148264984227,0.5457413249211357,6.0,0.7823343848580442,0.7823343848580442
0.05,4.0,1.0,5.0,0.1640378548895899,0.0,0.38801261829652994,6.0,0.7539432176656151,0.7570977917981072
0.05,4.0,2.0,5.0,0.1640378548895899,0.0,0.5331230283911672,7.0,0.7539432176656151,0.7570977917981072
0.05,4.0,3.0,5.0,0.1640378548895899,0.0,0.5425867507886435,6.0,0.7539432176656151,0.7570977917981072
0.03,4.0,1.0,0.0,0.15878023133543637,0.0,0.015772870662460567,11.0,0.0,0.10094637223974763
0.03,4.0,2.0,0.0,0.15878023133543637,0.0,0.277602523659306,11.0,0.012618296529968454,0.2902208201892745
0.03,4.0,3.0,0.0,0.15878023133543637,0.0,0.31230283911671924,11.0,0.00946372239747634,0.3627760252365931
0.4,4.0,1.0,0.0,0.4794952681388012,0.167192429022082,1.0,2.0,1.0,1.0
0.4,4.0,2.0,0.0,0.4794952681388012,0.167192429022082,1.0,2.0,1.0,1.0
0.4,4.0,3.0,0.0,0.4794952681388012,0.167192429022082,1.0,2.0,1.0,1.0
0.4,4.0,1.0,1.0,0.9831756046267087,0.9495268138801262,1.0,2.0,1.0,1.0
0.4,4.0,2.0,1.0,0.9831756046267087,0.9495268138801262,1.0,2.0,1.0,1.0
0.4,4.0,3.0,1.0,0.9831756046267087,0.9495268138801262,1.0,2.0,1.0,1.0
0.4,4.0,1.0,3.0,0.9737118822292324,0.9211356466876972,1.0,2.0,1.0,1.0
0.4,4.0,2.0,3.0,0.9737118822292324,0.9211356466876972,1.0,2.0,1.0,1.0
0.4,4.0,3.0,3.0,0.9737118822292324,0.9211356466876972,1.0,2.0,1.0,1.0
0.4,4.0,1.0,5.0,0.6866456361724501,0.05993690851735016,1.0,2.0,1.0,1.0
0.4,4.0,2.0,5.0,0.6866456361724501,0.05993690851735016,1.0,2.0,1.0,1.0
0.4,4.0,3.0,5.0,0.6866456361724501,0.05993690851735016,1.0,2.0,1.0,1.0
0.3,4.0,1.0,0.0,0.17560462670872767,0.006309148264984227,0.5457413249211357,3.0,0.6182965299684543,0.6182965299684543
0.3,4.0,2.0,0.0,0.17560462670872767,0.006309148264984227,0.4952681388012618,6.0,0.6214511041009464,0.6246056782334385
0.3,4.0,3.0,0.0,0.17560462670872767,0.006309148264984227,0.21451104100946372,8.0,0.6403785488958991,0.6435331230283912
0.3,4.0,1.0,1.0,0.2586750788643533,0.00946372239747634,0.7539432176656151,6.0,0.9022082018927445,0.9022082018927445
0.3,4.0,2.0,1.0,0.2586750788643533,0.00946372239747634,0.8927444794952681,4.0,0.9022082018927445,0.9022082018927445
0.3,4.0,3.0,1.0,0.2586750788643533,0.00946372239747634,0.8454258675078864,4.0,0.9022082018927445,0.9022082018927445
0.3,4.0,1.0,3.0,0.18611987381703468,0.0031545741324921135,0.6435331230283912,4.0,0.6813880126182965,0.6813880126182965
0.3,4.0,2.0,3.0,0.18611987381703468,0.0031545741324921135,0.5772870662460567,6.0,0.6750788643533123,0.6750788643533123
0.3,4.0,3.0,3.0,0.18611987381703468,0.0031545741324921135,0.40063091482649843,4.0,0.6845425867507886,0.6845425867507886
